Sender's Email,Reciever's Email,Date,Time,Email subject,Email Body,Urgency
oniadeola33@gmail.com,RichardMartins@gmail.com,22-09-19, 02:00:00,Reply to the email,"Thank you very much. I need you to reply this email with the requested files, as soon as you get this email.",1
gordon@venture.com,RichardMartins@gmail.com,22-09-19, 03:45:06,Lunch on Saturday!,"Hello Richard, this is gordon from accounting department. I really wish to have lunch with you on Saturday. See you soon",0
alias.evans@venture.com,RichardMartins@gmail.com,22-09-19, 03:47:02,Response to questions,"Yes, I am in my office. See me at your free time",0
amen.ada@venture.com,RichardMartins@gmail.com,22-09-19, 07:00:03,Article Numbers,This is the fifth time I am reminding you to send the invoices. Richard send them imediately!,1
uxdesignersworld@yahoo.com,RichardMartins@gmail.com,22-09-19, 12:00:04,join 90% of our grads who have landed successful UX careers!,"Hi Richard Martins, there are over 2000 roles available for take over.",0
bellamy.hundred@venture.com,RichardMartins@gmail.com,22-09-19, 13:00:05,Congratulations! You Passed the Recruitment Assessment; We'd Love to Meet you this Thursday at our Office!,"Dear Candidate,
Congratulations on your progress so far!
The next stage consists of a series of recruitment exercises scheduled to take place:
Date: Thursday 5th August 2019",1
oluwalolope.hope@venture.com,RichardMartins@gmail.com,22-09-19, 14:05:06,Invitation to the board meeting,Please be reminded that the board meeting will hold tomorrow. It is madatory for you to be in attendance. We look forward to reviewing your team. Thank you,0
sulaiman.teniola@venture.com,RichardMartins@gmail.com,22-09-19, 15:09:07,Emergency! All servers are down,"Mr. Richard, I have been trying to get a hold of you all day. All the servers are down and we need your permission to redistribute using our new load balancer. Please reply as soon as possible",1
kareem.basirat@venture.com,RichardMartins@gmail.com,22-09-19, 15:09:07,Update on meet up,The meetup date has been resheduled till nextweek,0
sojirin.seyikemi@venture.com,RichardMartins@gmail.com,22-09-19, 19:04:20,Sales!!! Limited offer!!!,We are selling used and new laptops at affordable prices. Hurry while stock lasts.,0
akande.adedeji@gmail.com,RichardMartins@gmail.com,22-09-19, 20:05:06,Meeting with Arizona Directors,"Good morning, I hope you are doing well. Great job the other day! Our Directors would like to meet you tomorrow.",0
oluwaseyi.juls@venture.com,RichardMartins@gmail.com,22-09-19, 22:03:48,"Reminder, Juls Meeting",Please be reminded that we have a skype call in 10minutes.,1
kadiri.olasukanmi@venture.com,RichardMartins@gmail.com,22-09-19, 23:05:19,Family Emergency,"Hello Mr Richard, I wont be available at work tomorrow. ",1
sarah.drasner@gmail.com,RichardMartins@gmail.com,22-09-19, 23:09:19,Early Signup for Concatenate Conf!,"Hi there,

You're getting this email because you were on the wait list for ConcatenateConf last year! We're announcing this year's conference tomorrow, so you get first dibs!",0
notifications-noreply@linkedin.com,RichardMartins@gmail.com,23-09-19, 23:09:20,You appeared in 7 searches this week,You appeared in 7 searches this week,0
oniadeola33@gmail.com,RichardMartins@gmail.com,22-09-19, 02:00:00,Reply to the email,"Thank you very much. I need you to reply this email with the requested files, as soon as you get this email.",1
gordon@venture.com,RichardMartins@gmail.com,22-09-19, 03:45:06,Lunch on Saturday!,"Hello Richard, this is gordon from accounting department. I really wish to have lunch with you on Saturday. See you soon",0
alias.evans@venture.com,RichardMartins@gmail.com,22-09-19, 03:47:02,Response to questions,"Yes, I am in my office. See me at your free time",0
amen.ada@venture.com,RichardMartins@gmail.com,22-09-19, 07:00:03,Article Numbers,This is the fifth time I am reminding you to send the invoices. Richard send them imediately!,1
uxdesignersworld@yahoo.com,RichardMartins@gmail.com,22-09-19, 12:00:04,join 90% of our grads who have landed successful UX careers!,"Hi Richard Martins, there are over 2000 roles available for take over.",0
bellamy.hundred@venture.com,RichardMartins@gmail.com,22-09-19, 13:00:05,Congratulations! You Passed the Recruitment Assessment; We'd Love to Meet you this Thursday at our Office!,"Dear Candidate,
Congratulations on your progress so far!
The next stage consists of a series of recruitment exercises scheduled to take place:
Date: Thursday 5th August 2019",1
oluwalolope.hope@venture.com,RichardMartins@gmail.com,22-09-19, 14:05:06,Invitation to the board meeting,Please be reminded that the board meeting will hold tomorrow. It is madatory for you to be in attendance. We look forward to reviewing your team. Thank you,0
sulaiman.teniola@venture.com,RichardMartins@gmail.com,22-09-19, 15:09:07,Emergency! All servers are down,"Mr. Richard, I have been trying to get a hold of you all day. All the servers are down and we need your permission to redistribute using our new load balancer. Please reply as soon as possible",1
kareem.basirat@venture.com,RichardMartins@gmail.com,22-09-19, 15:09:07,Update on meet up,The meetup date has been resheduled till nextweek,0
sojirin.seyikemi@venture.com,RichardMartins@gmail.com,22-09-19, 19:04:20,Sales!!! Limited offer!!!,We are selling used and new laptops at affordable prices. Hurry while stock lasts.,0
akande.adedeji@gmail.com,RichardMartins@gmail.com,22-09-19, 20:05:06,Meeting with Arizona Directors,"Good morning, I hope you are doing well. Great job the other day! Our Directors would like to meet you tomorrow.",0
oluwaseyi.juls@venture.com,RichardMartins@gmail.com,22-09-19, 22:03:48,"Reminder, Juls Meeting",Please be reminded that we have a skype call in 10minutes.,1
kadiri.olasukanmi@venture.com,RichardMartins@gmail.com,22-09-19, 23:05:19,Family Emergency,"Hello Mr Richard, I wont be available at work tomorrow. ",1
sarah.drasner@gmail.com,RichardMartins@gmail.com,22-09-19, 23:09:19,Early Signup for Concatenate Conf!,"Hi there,

You're getting this email because you were on the wait list for ConcatenateConf last year! We're announcing this year's conference tomorrow, so you get first dibs!",0
notifications-noreply@linkedin.com,RichardMartins@gmail.com,23-09-19, 23:09:20,You appeared in 7 searches this week,You appeared in 7 searches this week,0
oniadeola33@gmail.com,RichardMartins@gmail.com,22-09-19, 02:00:00,Reply to the email,"Thank you very much. I need you to reply this email with the requested files, as soon as you get this email.",1
gordon@venture.com,RichardMartins@gmail.com,22-09-19, 03:45:06,Lunch on Saturday!,"Hello Richard, this is gordon from accounting department. I really wish to have lunch with you on Saturday. See you soon",0
alias.evans@venture.com,RichardMartins@gmail.com,22-09-19, 03:47:02,Response to questions,"Yes, I am in my office. See me at your free time",0
amen.ada@venture.com,RichardMartins@gmail.com,22-09-19, 07:00:03,Article Numbers,This is the fifth time I am reminding you to send the invoices. Richard send them imediately!,1
